snippet_id,model,model_version,dataset_tier,annotator_a_label,annotator_b_label,adjudicated,annotator_c_label,final_label,halluguard_prediction,codebook_version
G800_0034,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0035,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0036,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0037,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0038,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0039,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0040,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0041,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0042,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0043,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0044,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0045,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0046,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0047,Claude 3 Opus,claude-3-opus-20240229,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0048,Claude 3 Opus,claude-3-opus-20240229,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0049,Claude 3 Opus,claude-3-opus-20240229,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0050,Claude 3 Opus,claude-3-opus-20240229,CodeHaluEval,no_hallucination,hallucination,yes,no_hallucination,no_hallucination,not_flagged,1.0
G800_0051,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0052,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0053,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0054,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0055,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0056,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0057,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0058,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0059,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0060,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0061,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0062,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0063,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0064,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0065,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0066,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0067,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0068,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0069,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0070,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0071,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0072,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0073,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0074,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0075,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0076,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0077,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0078,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0079,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0080,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,hallucination,no_hallucination,yes,no_hallucination,no_hallucination,not_flagged,1.0
G800_0081,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0082,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0083,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0084,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0085,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0086,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0087,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0088,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0089,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0090,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0091,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0092,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0093,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0094,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0095,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0096,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0097,DeepSeek-Coder,deepseek-coder-33b-instruct,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0098,DeepSeek-Coder,deepseek-coder-33b-instruct,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0099,DeepSeek-Coder,deepseek-coder-33b-instruct,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0100,DeepSeek-Coder,deepseek-coder-33b-instruct,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0101,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0102,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0103,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0104,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0105,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0106,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0107,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0108,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0109,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0110,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0111,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0112,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0113,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0114,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0115,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0116,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0117,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0118,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0119,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0120,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0121,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0122,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0123,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0124,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0125,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0126,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0127,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0128,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0129,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0130,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0131,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0132,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0133,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0134,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0135,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0136,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0137,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0138,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0139,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0140,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0141,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0142,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0143,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0144,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0145,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0146,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0147,Gemini 1.5 Pro,gemini-1.5-pro-001,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0148,Gemini 1.5 Pro,gemini-1.5-pro-001,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0149,Gemini 1.5 Pro,gemini-1.5-pro-001,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0150,Gemini 1.5 Pro,gemini-1.5-pro-001,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0151,GPT-4,gpt-4-turbo-2024-04-09,NL-API,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0152,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0153,GPT-4,gpt-4-turbo-2024-04-09,MBPP,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0154,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0155,GPT-4,gpt-4-turbo-2024-04-09,NL-API,hallucination,hallucination,no,,hallucination,flagged,1.0
G800_0156,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0157,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0158,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0159,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0160,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0161,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0162,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0163,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0164,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0165,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0166,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0167,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0168,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0169,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0170,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0171,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0172,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0173,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0174,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0175,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0176,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0177,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0178,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0179,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0180,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0181,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0182,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0183,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0184,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0185,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0186,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0187,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0188,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0189,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0190,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0191,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0192,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0193,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0194,GPT-4,gpt-4-turbo-2024-04-09,CodeHaluEval,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0195,GPT-4,gpt-4-turbo-2024-04-09,NL-API,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0196,GPT-4,gpt-4-turbo-2024-04-09,HumanEval+,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
G800_0197,GPT-4,gpt-4-turbo-2024-04-09,MBPP,no_hallucination,no_hallucination,no,,no_hallucination,not_flagged,1.0
